term,estimate,std.error,statistic,p.value,conf.low,conf.high,direction
pizza_complexity,-3.514,3.308,-1.062215469872348,0.2898450417408561,-10.05,3.022,Makes delay shorter (-min)
pizza_size_Medium,-1.81,0.571,-3.1703092674172924,0.0018464403881237018,-2.938,-0.682,Makes delay shorter (-min)
pizza_size_Small,-0.917,0.243,-3.7671426033421342,2.3668772959001378e-4,-1.398,-0.436,Makes delay shorter (-min)
distance_km,0.683,0.233,2.927492432565637,0.003949864105472304,0.222,1.143,Makes delay worse (+min)
order_hour,-0.55,0.14,-3.924513278124221,1.3200303263561242e-4,-0.826,-0.273,Makes delay shorter (-min)
toppings_count,0.545,1.823,0.2988344072921444,0.7654800012501308,-3.057,4.147,Makes delay worse (+min)
pizza_size_XL,0.523,1.339,0.39030291076316753,0.696866275460084,-2.123,3.169,Makes delay worse (+min)
traffic_level_Low,-0.387,0.122,-3.1628723623283923,0.0018911967017404153,-0.629,-0.145,Makes delay shorter (-min)
restaurant_name_Little.Caesars,0.315,0.282,1.1160097671392313,0.2662025690010107,-0.243,0.872,Makes delay worse (+min)
restaurant_name_Pizza.Hut,0.283,0.246,1.1504547440563437,0.25178737432973014,-0.203,0.768,Makes delay worse (+min)
restaurant_name_Papa.John.s,0.243,0.17,1.4244635509136725,0.15638946423219255,-0.094,0.579,Makes delay worse (+min)
traffic_level_Medium,0.151,0.265,0.5699391410273356,0.5695716052865838,-0.372,0.674,Makes delay worse (+min)
restaurant_name_Marco.s.Pizza,-0.12,0.145,-0.8303773451379748,0.4076451570684372,-0.406,0.166,Makes delay shorter (-min)
region_West,0.089,0.174,0.510770296147681,0.6102628152794801,-0.255,0.432,Makes delay worse (+min)
region_Northeast,0.087,0.151,0.574174970027765,0.5667094226355145,-0.212,0.385,Makes delay worse (+min)
region_South,0.062,0.168,0.3676649102193045,0.7136413649864679,-0.271,0.394,Makes delay worse (+min)
is_weekend_TRUE.,0.049,0.12,0.4060987039059206,0.6852488223990529,-0.189,0.286,Makes delay worse (+min)
is_peak_hour_TRUE.,NA,NA,NA,NA,NA,NA,NA
