term,estimate,std.error,statistic,p.value,conf.low,conf.high,direction
distance_km,0,1.872820606067971,-6.745178530719165,1.5283897468947015e-11,0,0,Decreases delay odds
pizza_size_Medium,0.005,1.3719021635739403,-3.7958033353882024,1.4716613023010844e-4,0,0.089,Decreases delay odds
restaurant_name_Little.Caesars,150.075,1.4672048311665888,3.4154283784634942,6.368177408198469e-4,8.862,2892.97,Increases delay odds
pizza_size_Small,0.007,1.4019680483680046,-3.5230654652548092,4.2658597709541185e-4,0,0.125,Decreases delay odds
restaurant_name_Pizza.Hut,107.629,1.1637323344377317,4.020414486013868,5.80958352390895e-5,10.264,1185.104,Increases delay odds
traffic_level_Low,79.2,9.367044593988448,0.46673996217975106,0.6406859348595275,1.023,16093.677,Increases delay odds
pizza_complexity,17.341,4.964203342688979,0.574724091594348,0.5654779113851802,0.001,470048.612,Increases delay odds
restaurant_name_Marco.s.Pizza,13.665,0.8395828955066803,3.114410604476402,0.00184312799091997,2.655,79.819,Increases delay odds
restaurant_name_Papa.John.s,13.569,0.8513818344947186,3.0629707293868407,0.002191514948362584,2.975,80.782,Increases delay odds
toppings_count,0.088,3.2102671256435036,-0.7575186751081332,0.4487391818239973,0,78.957,Decreases delay odds
pizza_size_XL,0.106,2.032955030701014,-1.1023453578065086,0.27031155726100436,0.002,9.066,Decreases delay odds
order_hour,0.127,0.6605523785824583,-3.1252600577540437,0.0017764793135237103,0.032,0.444,Decreases delay odds
traffic_level_Medium,6.785,0.5239141323634761,3.6546104464170432,2.575727657795076e-4,2.444,19.65,Increases delay odds
is_peak_hour_TRUE.,0.326,1.684907684240493,-0.6649455158776757,0.5060853420453224,0.041,3.229,Decreases delay odds
region_South,0.368,0.5277519256971994,-1.8948423410401043,0.05811329186221136,0.125,1.021,Decreases delay odds
region_West,0.57,0.5473763739012353,-1.02570840138607,0.30502905307066186,0.19,1.659,Decreases delay odds
is_weekend_TRUE.,0.789,0.340347379125097,-0.6968497366745793,0.48589683621145635,0.403,1.574,Decreases delay odds
region_Northeast,0.792,0.4105409150753011,-0.567166669652997,0.5706009505431628,0.345,1.756,Decreases delay odds
