Order ID,Restaurant Name,Location,State,Region,Order Time,Delivery Time,Order Month,Month Number,Day of Week,Day Number,Order Hour,Is Peak Hour,Is Weekend,Pizza Size,Pizza Type,Toppings Count,Topping Density,Pizza Complexity,Distance (km),Traffic Level,Traffic Impact,Delivery Duration (min),Estimated Duration (min),Delay (min),Is Delayed,Restaurant Avg Time,Delivery vs Restaurant Avg (min),Slower Than Restaurant Avg,Delivery Efficiency (min/km),Payment Method,Payment Category
ORD001,Domino's,"New York, NY",NY,Northeast,2024-01-05 18:30:00,2024-01-05 18:45:00,January,1,Friday,4,18,True,False,Medium,Veg,3,1.2,6,2.5,Medium,2,15,6.0,9.0,False,30.25943396226415,-15.26,False,6.0,Card,Online
ORD002,Papa John's,"Los Angeles, CA",CA,West,2024-02-14 20:00:00,2024-02-14 20:25:00,February,2,Wednesday,2,20,True,False,Large,Non-Veg,4,0.8,12,5.0,High,3,25,12.0,13.0,False,28.18627450980392,-3.19,False,5.0,Wallet,Online
ORD003,Little Caesars,"Chicago, IL",IL,Midwest,2024-03-21 12:15:00,2024-03-21 12:35:00,March,3,Thursday,3,12,False,False,Small,Vegan,2,0.6666666666666666,2,3.0,Low,1,20,7.199999999999999,12.8,False,28.84422110552764,-8.84,False,6.666666666666667,UPI,Online
ORD004,Pizza Hut,"Miami, FL",FL,South,2024-04-10 19:45:00,2024-04-10 20:10:00,April,4,Wednesday,2,19,True,False,XL,Cheese Burst,5,1.111111111111111,20,4.5,Medium,2,25,10.8,14.2,False,29.94845360824742,-4.95,False,5.555555555555555,Cash,Offline
ORD005,Marco's Pizza,"Dallas, TX",TX,South,2024-05-05 13:00:00,2024-05-05 13:20:00,May,5,Sunday,6,13,False,True,Medium,Non-Veg,3,1.5,6,2.0,High,3,20,4.8,15.2,False,30.28645833333333,-10.29,False,10.0,Card,Online
ORD006,Domino's,"New York, NY",NY,Northeast,2024-01-06 19:00:00,2024-01-06 19:20:00,January,1,Saturday,5,19,True,True,Medium,Non-Veg,3,1.0,6,3.0,High,3,20,7.199999999999999,12.8,False,30.25943396226415,-10.26,False,6.666666666666667,Card,Online
ORD007,Papa John's,"Los Angeles, CA",CA,West,2024-01-07 20:15:00,2024-01-07 20:40:00,January,1,Sunday,6,20,True,True,Large,Veg,4,0.8888888888888888,12,4.5,Medium,2,25,10.8,14.2,False,28.18627450980392,-3.19,False,5.555555555555555,UPI,Online
ORD008,Little Caesars,"Chicago, IL",IL,Midwest,2024-01-08 18:30:00,2024-01-08 18:50:00,January,1,Monday,0,18,True,False,Small,Vegan,2,1.0,2,2.0,Low,1,20,4.8,15.2,False,28.84422110552764,-8.84,False,10.0,Cash,Offline
ORD009,Pizza Hut,"Miami, FL",FL,South,2024-01-09 19:45:00,2024-01-09 20:10:00,January,1,Tuesday,1,19,True,False,XL,Cheese Burst,5,1.0,20,5.0,High,3,25,12.0,13.0,False,29.94845360824742,-4.95,False,5.0,Wallet,Online
ORD010,Marco's Pizza,"Dallas, TX",TX,South,2024-01-10 13:00:00,2024-01-10 13:20:00,January,1,Wednesday,2,13,False,False,Medium,Non-Veg,3,0.8571428571428571,6,3.5,Medium,2,20,8.4,11.6,False,30.28645833333333,-10.29,False,5.714285714285714,Card,Online
ORD011,Domino's,"San Francisco, CA",CA,West,2024-01-11 17:30:00,2024-01-11 17:50:00,January,1,Thursday,3,17,False,False,Large,Veg,4,1.0,12,4.0,Low,1,20,9.6,10.4,False,30.25943396226415,-10.26,False,5.0,UPI,Online
ORD012,Papa John's,"Houston, TX",TX,South,2024-01-12 19:00:00,2024-01-12 19:25:00,January,1,Friday,4,19,True,False,Medium,Non-Veg,3,1.0,6,3.0,Medium,2,25,7.199999999999999,17.8,False,28.18627450980392,-3.19,False,8.333333333333334,Cash,Offline
ORD013,Little Caesars,"Phoenix, AZ",AZ,West,2024-01-13 18:15:00,2024-01-13 18:35:00,January,1,Saturday,5,18,True,True,Small,Vegan,2,0.8,2,2.5,High,3,20,6.0,14.0,False,28.84422110552764,-8.84,False,8.0,Wallet,Online
ORD014,Pizza Hut,"Atlanta, GA",GA,South,2024-01-14 20:30:00,2024-01-14 20:55:00,January,1,Sunday,6,20,True,True,XL,Cheese Burst,5,1.25,20,4.0,Low,1,25,9.6,15.4,False,29.94845360824742,-4.95,False,6.25,Card,Online
ORD015,Marco's Pizza,"Seattle, WA",WA,West,2024-01-15 14:00:00,2024-01-15 14:20:00,January,1,Monday,0,14,False,False,Medium,Non-Veg,3,1.0,6,3.0,Medium,2,20,7.199999999999999,12.8,False,30.28645833333333,-10.29,False,6.666666666666667,UPI,Online
ORD016,Domino's,"Denver, CO",CO,West,2024-01-16 19:45:00,2024-01-16 20:10:00,January,1,Tuesday,1,19,True,False,Large,Veg,4,0.8888888888888888,12,4.5,High,3,25,10.8,14.2,False,30.25943396226415,-5.26,False,5.555555555555555,Cash,Offline
ORD017,Papa John's,"Boston, MA",MA,Northeast,2024-01-17 18:30:00,2024-01-17 18:55:00,January,1,Wednesday,2,18,True,False,Small,Vegan,2,1.0,2,2.0,Low,1,25,4.8,20.2,False,28.18627450980392,-3.19,False,12.5,Wallet,Online
ORD018,Little Caesars,"Dallas, TX",TX,South,2024-01-18 20:00:00,2024-01-18 20:20:00,January,1,Thursday,3,20,True,False,Medium,Non-Veg,3,0.8571428571428571,6,3.5,Medium,2,20,8.4,11.6,False,28.84422110552764,-8.84,False,5.714285714285714,Card,Online
ORD019,Pizza Hut,"Los Angeles, CA",CA,West,2024-01-19 19:15:00,2024-01-19 19:40:00,January,1,Friday,4,19,True,False,XL,Cheese Burst,5,1.25,20,4.0,High,3,25,9.6,15.4,False,29.94845360824742,-4.95,False,6.25,UPI,Online
ORD020,Marco's Pizza,"Chicago, IL",IL,Midwest,2024-01-20 13:30:00,2024-01-20 13:50:00,January,1,Saturday,5,13,False,True,Medium,Non-Veg,3,1.0,6,3.0,Low,1,20,7.199999999999999,12.8,False,30.28645833333333,-10.29,False,6.666666666666667,Cash,Offline
ORD021,Domino's,"Miami, FL",FL,South,2024-01-21 18:45:00,2024-01-21 19:10:00,January,1,Sunday,6,18,True,True,Large,Veg,4,0.8888888888888888,12,4.5,Medium,2,25,10.8,14.2,False,30.25943396226415,-5.26,False,5.555555555555555,Wallet,Online
ORD022,Papa John's,"Dallas, TX",TX,South,2024-01-22 20:00:00,2024-01-22 20:25:00,January,1,Monday,0,20,True,False,Small,Vegan,2,1.0,2,2.0,High,3,25,4.8,20.2,False,28.18627450980392,-3.19,False,12.5,Card,Online
ORD023,Little Caesars,"Houston, TX",TX,South,2024-01-23 19:30:00,2024-01-23 19:50:00,January,1,Tuesday,1,19,True,False,Medium,Non-Veg,3,0.8571428571428571,6,3.5,Low,1,20,8.4,11.6,False,28.84422110552764,-8.84,False,5.714285714285714,UPI,Online
ORD024,Pizza Hut,"Phoenix, AZ",AZ,West,2024-01-24 18:15:00,2024-01-24 18:40:00,January,1,Wednesday,2,18,True,False,XL,Cheese Burst,5,1.25,20,4.0,Medium,2,25,9.6,15.4,False,29.94845360824742,-4.95,False,6.25,Cash,Offline
ORD025,Marco's Pizza,"Atlanta, GA",GA,South,2024-01-25 14:30:00,2024-01-25 14:50:00,January,1,Thursday,3,14,False,False,Medium,Non-Veg,3,1.0,6,3.0,High,3,20,7.199999999999999,12.8,False,30.28645833333333,-10.29,False,6.666666666666667,Wallet,Online
ORD026,Domino's,"Seattle, WA",WA,West,2024-01-26 20:00:00,2024-01-26 20:25:00,January,1,Friday,4,20,True,False,Large,Veg,4,0.8888888888888888,12,4.5,Low,1,25,10.8,14.2,False,30.25943396226415,-5.26,False,5.555555555555555,Card,Online
ORD027,Papa John's,"Denver, CO",CO,West,2024-01-27 19:15:00,2024-01-27 19:40:00,January,1,Saturday,5,19,True,True,Small,Vegan,2,1.0,2,2.0,Medium,2,25,4.8,20.2,False,28.18627450980392,-3.19,False,12.5,UPI,Online
ORD028,Little Caesars,"Boston, MA",MA,Northeast,2024-01-28 18:30:00,2024-01-28 18:50:00,January,1,Sunday,6,18,True,True,Medium,Non-Veg,3,0.8571428571428571,6,3.5,High,3,20,8.4,11.6,False,28.84422110552764,-8.84,False,5.714285714285714,Cash,Offline
ORD029,Pizza Hut,"Chicago, IL",IL,Midwest,2024-01-29 20:00:00,2024-01-29 20:25:00,January,1,Monday,0,20,True,False,XL,Cheese Burst,5,1.25,20,4.0,Low,1,25,9.6,15.4,False,29.94845360824742,-4.95,False,6.25,Wallet,Online
ORD030,Marco's Pizza,"Miami, FL",FL,South,2024-01-30 13:15:00,2024-01-30 13:35:00,January,1,Tuesday,1,13,False,False,Medium,Non-Veg,3,1.0,6,3.0,Medium,2,20,7.199999999999999,12.8,False,30.28645833333333,-10.29,False,6.666666666666667,Card,Online
ORD031,Domino's,"Los Angeles, CA",CA,West,2024-02-01 19:45:00,2024-02-01 20:10:00,February,2,Thursday,3,19,True,False,Large,Veg,4,0.8888888888888888,12,4.5,High,3,25,10.8,14.2,False,30.25943396226415,-5.26,False,5.555555555555555,UPI,Online
ORD032,Papa John's,"Phoenix, AZ",AZ,West,2024-02-02 18:00:00,2024-02-02 18:25:00,February,2,Friday,4,18,True,False,Small,Vegan,2,1.0,2,2.0,Low,1,25,4.8,20.2,False,28.18627450980392,-3.19,False,12.5,Cash,Offline
ORD033,Little Caesars,"Atlanta, GA",GA,South,2024-02-03 20:30:00,2024-02-03 20:55:00,February,2,Saturday,5,20,True,True,Medium,Non-Veg,3,0.8571428571428571,6,3.5,Medium,2,25,8.4,16.6,False,28.84422110552764,-3.84,False,7.142857142857143,Wallet,Online
ORD034,Pizza Hut,"Dallas, TX",TX,South,2024-02-04 14:15:00,2024-02-04 14:35:00,February,2,Sunday,6,14,False,True,XL,Cheese Burst,5,1.25,20,4.0,High,3,20,9.6,10.4,False,29.94845360824742,-9.95,False,5.0,Card,Online
ORD035,Marco's Pizza,"Seattle, WA",WA,West,2024-02-05 19:00:00,2024-02-05 19:25:00,February,2,Monday,0,19,True,False,Medium,Non-Veg,3,1.0,6,3.0,Low,1,25,7.199999999999999,17.8,False,30.28645833333333,-5.29,False,8.333333333333334,UPI,Online
ORD036,Domino's,"Houston, TX",TX,South,2024-02-06 18:45:00,2024-02-06 19:10:00,February,2,Tuesday,1,18,True,False,Large,Veg,4,0.8888888888888888,12,4.5,Medium,2,25,10.8,14.2,False,30.25943396226415,-5.26,False,5.555555555555555,Card,Online
ORD037,Papa John's,"Phoenix, AZ",AZ,West,2024-02-07 20:00:00,2024-02-07 20:25:00,February,2,Wednesday,2,20,True,False,Medium,Non-Veg,3,1.0,6,3.0,High,3,25,7.199999999999999,17.8,False,28.18627450980392,-3.19,False,8.333333333333334,UPI,Online
ORD038,Little Caesars,"Atlanta, GA",GA,South,2024-02-08 19:30:00,2024-02-08 19:50:00,February,2,Thursday,3,19,True,False,Small,Vegan,2,0.8,2,2.5,Low,1,20,6.0,14.0,False,28.84422110552764,-8.84,False,8.0,Cash,Offline
ORD039,Pizza Hut,"Dallas, TX",TX,South,2024-02-09 18:15:00,2024-02-09 18:40:00,February,2,Friday,4,18,True,False,XL,Cheese Burst,5,1.25,20,4.0,Medium,2,25,9.6,15.4,False,29.94845360824742,-4.95,False,6.25,Wallet,Online
ORD040,Marco's Pizza,"Seattle, WA",WA,West,2024-02-10 14:30:00,2024-02-10 14:50:00,February,2,Saturday,5,14,False,True,Medium,Non-Veg,3,0.8571428571428571,6,3.5,High,3,20,8.4,11.6,False,30.28645833333333,-10.29,False,5.714285714285714,Card,Online
ORD041,Domino's,"Denver, CO",CO,West,2024-02-11 19:00:00,2024-02-11 19:20:00,February,2,Sunday,6,19,True,True,Large,Veg,4,1.0,12,4.0,Low,1,20,9.6,10.4,False,30.25943396226415,-10.26,False,5.0,UPI,Online
ORD042,Papa John's,"Boston, MA",MA,Northeast,2024-02-12 20:15:00,2024-02-12 20:40:00,February,2,Monday,0,20,True,False,Small,Vegan,2,1.0,2,2.0,Medium,2,25,4.8,20.2,False,28.18627450980392,-3.19,False,12.5,Cash,Offline
ORD043,Little Caesars,"Dallas, TX",TX,South,2024-02-13 18:30:00,2024-02-13 18:50:00,February,2,Tuesday,1,18,True,False,Medium,Non-Veg,3,1.0,6,3.0,High,3,20,7.199999999999999,12.8,False,28.84422110552764,-8.84,False,6.666666666666667,Wallet,Online
ORD044,Pizza Hut,"Los Angeles, CA",CA,West,2024-02-14 19:45:00,2024-02-14 20:10:00,February,2,Wednesday,2,19,True,False,XL,Cheese Burst,5,1.0,20,5.0,Low,1,25,12.0,13.0,False,29.94845360824742,-4.95,False,5.0,Card,Online
ORD045,Marco's Pizza,"Chicago, IL",IL,Midwest,2024-02-15 13:00:00,2024-02-15 13:20:00,February,2,Thursday,3,13,False,False,Medium,Non-Veg,3,0.8571428571428571,6,3.5,Medium,2,20,8.4,11.6,False,30.28645833333333,-10.29,False,5.714285714285714,UPI,Online
ORD046,Domino's,"Miami, FL",FL,South,2024-02-16 18:30:00,2024-02-16 18:50:00,February,2,Friday,4,18,True,False,Large,Veg,4,1.0,12,4.0,High,3,20,9.6,10.4,False,30.25943396226415,-10.26,False,5.0,Cash,Offline
ORD047,Papa John's,"Dallas, TX",TX,South,2024-02-17 20:00:00,2024-02-17 20:25:00,February,2,Saturday,5,20,True,True,Medium,Non-Veg,3,1.0,6,3.0,Low,1,25,7.199999999999999,17.8,False,28.18627450980392,-3.19,False,8.333333333333334,Wallet,Online
ORD048,Little Caesars,"Houston, TX",TX,South,2024-02-18 19:15:00,2024-02-18 19:35:00,February,2,Sunday,6,19,True,True,Small,Vegan,2,0.8,2,2.5,Medium,2,20,6.0,14.0,False,28.84422110552764,-8.84,False,8.0,Card,Online
ORD049,Pizza Hut,"Phoenix, AZ",AZ,West,2024-02-19 20:30:00,2024-02-19 20:55:00,February,2,Monday,0,20,True,False,XL,Cheese Burst,5,1.111111111111111,20,4.5,High,3,25,10.8,14.2,False,29.94845360824742,-4.95,False,5.555555555555555,UPI,Online
ORD050,Marco's Pizza,"Atlanta, GA",GA,South,2024-02-20 14:45:00,2024-02-20 15:05:00,February,2,Tuesday,1,14,False,False,Medium,Non-Veg,3,1.0,6,3.0,Low,1,20,7.199999999999999,12.8,False,30.28645833333333,-10.29,False,6.666666666666667,Cash,Offline
ORD051,Domino's,"Seattle, WA",WA,West,2024-02-21 19:00:00,2024-02-21 19:20:00,February,2,Wednesday,2,19,True,False,Large,Veg,4,1.0,12,4.0,Medium,2,20,9.6,10.4,False,30.25943396226415,-10.26,False,5.0,Wallet,Online
ORD052,Papa John's,"Denver, CO",CO,West,2024-02-22 20:15:00,2024-02-22 20:40:00,February,2,Thursday,3,20,True,False,Small,Vegan,2,1.0,2,2.0,High,3,25,4.8,20.2,False,28.18627450980392,-3.19,False,12.5,Card,Online
ORD053,Little Caesars,"Boston, MA",MA,Northeast,2024-02-23 18:30:00,2024-02-23 18:50:00,February,2,Friday,4,18,True,False,Medium,Non-Veg,3,0.8571428571428571,6,3.5,Low,1,20,8.4,11.6,False,28.84422110552764,-8.84,False,5.714285714285714,UPI,Online
ORD054,Pizza Hut,"Chicago, IL",IL,Midwest,2024-02-24 19:45:00,2024-02-24 20:10:00,February,2,Saturday,5,19,True,True,XL,Cheese Burst,5,1.25,20,4.0,Medium,2,25,9.6,15.4,False,29.94845360824742,-4.95,False,6.25,Cash,Offline
ORD055,Marco's Pizza,"Miami, FL",FL,South,2024-02-25 13:00:00,2024-02-25 13:20:00,February,2,Sunday,6,13,False,True,Medium,Non-Veg,3,1.0,6,3.0,High,3,20,7.199999999999999,12.8,False,30.28645833333333,-10.29,False,6.666666666666667,Wallet,Online
ORD056,Domino's,"Los Angeles, CA",CA,West,2024-02-26 18:30:00,2024-02-26 18:50:00,February,2,Monday,0,18,True,False,Large,Veg,4,0.8888888888888888,12,4.5,Low,1,20,10.8,9.200000000000001,False,30.25943396226415,-10.26,False,4.444444444444445,Card,Online
ORD057,Papa John's,"Phoenix, AZ",AZ,West,2024-02-27 20:00:00,2024-02-27 20:25:00,February,2,Tuesday,1,20,True,False,Medium,Non-Veg,3,1.0,6,3.0,High,3,25,7.199999999999999,17.8,False,28.18627450980392,-3.19,False,8.333333333333334,UPI,Online
ORD058,Little Caesars,"Atlanta, GA",GA,South,2024-02-28 19:15:00,2024-02-28 19:35:00,February,2,Wednesday,2,19,True,False,Small,Vegan,2,0.8,2,2.5,Low,1,20,6.0,14.0,False,28.84422110552764,-8.84,False,8.0,Cash,Offline
ORD059,Pizza Hut,"Dallas, TX",TX,South,2024-02-29 20:30:00,2024-02-29 20:55:00,February,2,Thursday,3,20,True,False,XL,Cheese Burst,5,1.25,20,4.0,Medium,2,25,9.6,15.4,False,29.94845360824742,-4.95,False,6.25,Wallet,Online
ORD060,Marco's Pizza,"Seattle, WA",WA,West,2024-03-01 14:45:00,2024-03-01 15:05:00,March,3,Friday,4,14,False,False,Medium,Non-Veg,3,0.8571428571428571,6,3.5,High,3,20,8.4,11.6,False,30.28645833333333,-10.29,False,5.714285714285714,Card,Online
ORD061,Domino's,"Denver, CO",CO,West,2024-03-02 19:00:00,2024-03-02 19:20:00,March,3,Saturday,5,19,True,True,Large,Veg,4,1.0,12,4.0,Low,1,20,9.6,10.4,False,30.25943396226415,-10.26,False,5.0,UPI,Online
